,Producto,Marca,Cantidad(g),Caloria(kcal),Grasa(g),Carbohidrato(g),Proteina(g)
0,Bizcochos Clasicos,9 de Oro,30 ,144,6.7,18.0,2.8
1,Bizcochos Agridulces,9 de Oro,30 ,145,5.7,21.0,2.5
2,Bizcochos Azucarados,9 de Oro,34 ,160,6.4,23.0,2.5
3,Pepas,9 de Oro,30 ,97,3.0,15.0,1.0
4,Budín de Chocolate,9 de Oro,60 ,241,13.0,27.0,5.0
5,Agridulces,9 de Oro,30 ,142,5.9,20.0,2.3
6,Galletitas,9 de Oro,30 ,129,5.1,19.0,2.2
7,Bizcochos Light,9 de Oro,30 ,133,4.2,21.0,3.1
8,Madalenas,9 de Oro,30 ,109,5.2,13.0,2.0
9,Sconcitos,9 de Oro,32 ,132,5.0,21.0,2.0
10,Cookies con Chips de Chocolate,9 de Oro,30 ,132,6.0,16.0,2.0
11,Bizcochos con Salvado,9 de Oro,30 ,134,5.2,19.0,2.8
12,Bizcochos Azucarados,9 de Oro,30 ,139,5.3,21.0,2.1
13,Pepas de Harina Integral,9 de Oro,30 ,110,4.6,15.0,2.0
14,Obleas,9 de Oro,25 ,122,5.2,17.0,1.7
15,Anillitos de Vainilla,9 de Oro,30 ,114,4.0,18.0,1.0
16,Galletas de Avena con Pasas,9 de Oro,30 ,124,5.0,17.0,2.0
17,Bizcochos Light,9 de Oro,15 ,66,2.05,10.5,1.55
18,Brigitte de Chocolate ,9 de Oro,25 ,120,6.4,14.0,1.0
19,Brigitte Vainilla y Limón,9 de Oro,25 ,117,5.3,16.0,1.0
20,Anillitos de Chocolate,9 de Oro,30 ,120,4.0,19.0,2.0
21,Anillitos Sabor Coco,9 de Oro,30 ,121,4.0,20.0,1.0
22,Scons Sabor Limón ,9 de Oro,30 ,123,4.0,18.0,0.45
23,Pepas con Membrillo,9 de Oro,30 ,125,4.9,18.0,1.0
24,Bocaditos,9 de Oro,30 ,76,2.0,13.0,1.0
25,Mini Budin,9 de Oro,45 ,164,8.3,19.0,3.0
26,Bizcochos Light,9 de Oro,por 100 ,132,4.0,21.0,3.1
27,Obleas Bañadas,9 de Oro,20 ,108,5.6,13.0,1.4
28,Budín de Vainilla con Dulce de Leche,9 de Oro,60 ,232,9.7,32.0,4.1
29,Mini Magdalenas,9 de Oro,por 100 ,116,6.5,12.0,2.0
30,Bizcochos de Arroz Dulces,9 de Oro,25 ,95,0.0,22.0,1.7
31,Super Oblea,9 de Oro,30 ,144,8.1,16.0,1.5
32,Bizcochos de Arroz Salados,9 de Oro,25 ,109,2.7,19.0,1.6
33,Mini Alfajor,9 de Oro,40 ,95,3.7,14.0,1.6
34,Chocolate con Leche Relleno con Dulce de Leche con Sabor a Rhum,Tofi,por 100 ,459,22.0,56.0,8.2
35,Sardinas en Su Propio Jugo con Aceite Vegetal Libre de Gluten,Gomes da Costa,60 ,114,6.5,0.0,14.0
36,Bocaditos de Cereales con Avena y Trigo Relleno Sabor Frutilla,Granix,30 ,132,3.9,21.0,3.3
37,Sabor para Ensaladas Estilo Provenzal con un Toque de Mostaza ,Knorr,2 ,5,0.0,1.1,0.0
38,Barra a Base de Sésamo y Girasol con Amaranto Inflado,Trébol,25 ,111,6.1,10.0,3.65
39,"Galletas Integrales de Granola con Avena, Almendras y Mani",Cachafaz,por 100 ,406,18.0,52.0,9.0
40,Barra a Base de Girasol y Sésamo con Lino,Trébol,25 ,134,9.0,9.3,3.9
